,corr_with_radiant_win
level_advantage,0.9060244743747997
final_gold_advantage,0.8929419326599614
gold_advantage_per_min,0.8864283244873262
tower_damage_diff,0.8797263704739743
xpm_ratio,0.8694251647115283
gold_dominance,0.8689500912369243
final_xp_advantage,0.8604999143082899
assist_diff,0.8527742104060936
gpm_ratio,0.8486126620733506
tower_dominance,0.8461692720650347
death_diff,-0.8454451187122214
kill_diff,0.8453123355287194
kill_dominance,0.8310179940177026
tower_damage_dire,-0.7657784716933062
gold_per_min_dire,-0.7588309963895391
tower_damage_radiant,0.7551443317734966
gold_per_min_radiant,0.7472222953980661
damage_share_radiant,0.7404096510172797
towers_killed_dire,-0.7349128997692848
towers_killed_radiant,0.7175138160541775
damage_diff,0.6989579083246745
kd_advantage,0.6641145248074068
combat_effectiveness_dire,-0.6512766542689353
xp_per_min_dire,-0.6460615797572887
objective_score_dire,-0.6429929453483256
tower_ratio,0.6350493975522935
kd_ratio_dire,-0.6271494332446738
kill_participation_dire,-0.6250694968117517
kills_dire,-0.6202942190121349
objective_score_radiant,0.6201266839907656
barracks_status_radiant,0.6186838993771395
dire_score,-0.6146361127272661
deaths_radiant,-0.6131605747763254
assists_dire,-0.6097206105381797
kill_participation_radiant,0.6011096524143485
xp_per_min_radiant,0.5988146991094777
kills_radiant,0.5915920004933487
assists_radiant,0.586523977357039
tower_status_radiant,0.584924399053826
radiant_score,0.5844229467232447
deaths_dire,0.5830339480286728
barracks_status_dire,-0.5759013828032462
tower_status_dire,-0.5720805492594127
combat_effectiveness_radiant,0.5625215256696658
kd_ratio_radiant,0.5288757633271668
roshans_killed_dire,-0.43233674946931105
roshans_killed_radiant,0.40749823388052747
gold_per_kill_radiant,-0.3931459878015843
last_hit_diff,0.39295730871071516
level_dire,-0.3754248527156785
gold_per_kill_dire,0.3618399959584148
gold_spent_dire,-0.34613356992103234
healing_diff,0.30444064111003
level_radiant,0.29197194478890653
gold_spent_radiant,0.2751262804064938
hero_damage_dire,-0.2715844699064873
lh_efficiency_dire,-0.26305250511879974
hero_healing_dire,-0.22537844444578126
ward_efficiency_radiant,0.21376332995764333
deny_diff,0.20950034809943316
lh_efficiency_radiant,0.2010672541683235
hero_healing_radiant,0.1938379717585842
hero_damage_radiant,0.18919467788978805
ward_efficiency_dire,-0.16596698270887444
denies_radiant,0.13434294802161412
last_hits_dire,-0.1309250407632741
denies_dire,-0.12962721913323216
obs_placed_dire,-0.09881862410738253
damage_per_gold_radiant,-0.07072332908140742
total_skill_upgrades,-0.05423147402067069
obs_placed_radiant,0.0522601933185672
sen_placed_dire,-0.04919415241913396
gold_per_minute_match,-0.047523536517834086
last_hits_radiant,0.04677133454011316
objective_type_building_kill,-0.04307147080977132
duration,-0.039518648329940426
is_long_game,-0.03873736336001398
event_rune_count,-0.038128173367795816
event_kill_count,-0.03341365869690663
event_purchase_count,-0.030085288455239997
damage_per_gold_dire,0.02458468434888803
event_buyback_count,-0.02390065601142931
observer_wards_placed,-0.023619956432446857
likely_late_game,-0.02312995613248235
objective_type_CHAT_MESSAGE_AEGIS,-0.020850876424637094
sentry_wards_placed,-0.020334128105831045
region,0.020115480198717076
is_short_game,0.019693019947555148
objective_type_CHAT_MESSAGE_ROSHAN_KILL,-0.019084932680209214
region_encoded,0.01869721433971849
likely_early_stomp,0.018134042759837654
first_blood_time,-0.017763978959604115
start_time,-0.014903725228690797
match_seq_num,-0.014880248780621629
match_id,-0.014875578462394817
objective_type_CHAT_MESSAGE_MINIBOSS_KILL,-0.010591423075309041
sen_placed_radiant,0.009628271994832452
objective_type_CHAT_MESSAGE_AEGIS_STOLEN,0.006603505771326052
objective_type_CHAT_MESSAGE_FIRSTBLOOD,0.006324838841030205
game_mode_encoded,-0.006119504071477778
patch,-0.00484973593238836
patch_encoded,-0.0048497359323881
game_mode,-0.004199785182823745
objective_type_CHAT_MESSAGE_COURIER_LOST,0.004080235181663128
objective_type_CHAT_MESSAGE_DENIED_AEGIS,0.002923324231280782
kills_per_minute,5.126800449633748e-06
skill,
